CMDLINE /home/vkumar/work/personal/vhere/vhereapp/venv/bin/python3 main.py
MEM 1.117188 1601837662.6478
MEM 26.773438 1601837662.7482
MEM 44.812500 1601837662.8484
MEM 61.292969 1601837662.9488
MEM 67.359375 1601837663.0490
MEM 81.750000 1601837663.1493
MEM 96.535156 1601837663.2496
MEM 96.535156 1601837663.3499
MEM 96.535156 1601837663.4502
MEM 96.535156 1601837663.5505
MEM 96.535156 1601837663.6508
MEM 96.535156 1601837663.7511
MEM 96.535156 1601837663.8515
MEM 96.535156 1601837663.9524
MEM 96.535156 1601837664.0530
MEM 96.535156 1601837664.1537
MEM 96.535156 1601837664.2544
MEM 96.535156 1601837664.3553
MEM 96.535156 1601837664.4561
MEM 96.535156 1601837664.5569
MEM 96.535156 1601837664.6577
MEM 96.535156 1601837664.7586
MEM 96.535156 1601837664.8589
MEM 96.535156 1601837664.9598
MEM 96.535156 1601837665.0605
MEM 96.535156 1601837665.1613
MEM 96.535156 1601837665.2622
MEM 96.535156 1601837665.3632
MEM 96.535156 1601837665.4637
MEM 96.535156 1601837665.5645
MEM 96.535156 1601837665.6654
MEM 96.535156 1601837665.7662
MEM 96.535156 1601837665.8666
MEM 96.535156 1601837665.9673
MEM 96.535156 1601837666.0679
MEM 96.535156 1601837666.1687
MEM 96.535156 1601837666.2696
MEM 96.535156 1601837666.3704
MEM 96.535156 1601837666.4708
MEM 96.535156 1601837666.5717
MEM 96.535156 1601837666.6726
MEM 96.535156 1601837666.7734
MEM 96.535156 1601837666.8742
MEM 96.535156 1601837666.9750
MEM 96.535156 1601837667.0758
MEM 96.535156 1601837667.1768
MEM 96.535156 1601837667.2779
MEM 96.535156 1601837667.3788
MEM 96.535156 1601837667.4797
MEM 96.535156 1601837667.5806
MEM 96.535156 1601837667.6813
MEM 96.535156 1601837667.7823
MEM 96.535156 1601837667.8832
MEM 96.535156 1601837667.9841
MEM 96.535156 1601837668.0849
MEM 96.535156 1601837668.1857
MEM 96.535156 1601837668.2864
MEM 96.535156 1601837668.3873
