CMDLINE /home/vkumar/work/personal/vhere/vhereapp/venv/bin/python3 main.py
MEM 96.132812 1601836864.4956
MEM 96.132812 1601836864.5966
MEM 96.132812 1601836864.6975
MEM 96.132812 1601836864.7984
MEM 96.132812 1601836864.8991
MEM 96.132812 1601836865.0000
MEM 96.132812 1601836865.1008
MEM 96.132812 1601836865.2015
MEM 96.132812 1601836865.3019
MEM 96.132812 1601836865.4022
MEM 96.132812 1601836865.5026
MEM 96.132812 1601836865.6029
MEM 96.132812 1601836865.7033
MEM 96.132812 1601836865.8036
MEM 96.132812 1601836865.9040
MEM 96.132812 1601836866.0043
MEM 96.132812 1601836866.1046
MEM 96.132812 1601836866.2048
MEM 96.132812 1601836866.3052
MEM 96.132812 1601836866.4055
MEM 96.132812 1601836866.5060
MEM 96.132812 1601836866.6068
MEM 96.132812 1601836866.7076
MEM 96.132812 1601836866.8084
MEM 96.132812 1601836866.9092
MEM 96.132812 1601836867.0099
MEM 96.132812 1601836867.1108
MEM 96.132812 1601836867.2117
MEM 96.132812 1601836867.3126
MEM 96.132812 1601836867.4135
MEM 96.132812 1601836867.5139
MEM 96.132812 1601836867.6148
MEM 96.132812 1601836867.7157
MEM 96.132812 1601836867.8166
MEM 96.132812 1601836867.9173
MEM 96.132812 1601836868.0181
MEM 96.132812 1601836868.1188
MEM 96.132812 1601836868.2196
MEM 96.132812 1601836868.3205
MEM 96.132812 1601836868.4214
MEM 96.132812 1601836868.5218
MEM 96.132812 1601836868.6226
MEM 96.132812 1601836868.7230
MEM 96.132812 1601836868.8237
MEM 96.132812 1601836868.9245
MEM 96.132812 1601836869.0252
MEM 96.132812 1601836869.1261
MEM 96.132812 1601836869.2269
MEM 96.132812 1601836869.3276
MEM 96.132812 1601836869.4285
MEM 96.132812 1601836869.5294
MEM 96.132812 1601836869.6303
MEM 96.132812 1601836869.7312
MEM 96.132812 1601836869.8322
MEM 96.132812 1601836869.9330
MEM 96.132812 1601836870.0334
MEM 96.132812 1601836870.1342
MEM 96.132812 1601836870.2351
MEM 96.132812 1601836870.3362
MEM 96.132812 1601836870.4369
MEM 96.132812 1601836870.5378
MEM 96.132812 1601836870.6385
MEM 96.132812 1601836870.7395
MEM 96.132812 1601836870.8403
MEM 96.132812 1601836870.9412
MEM 96.132812 1601836871.0422
MEM 96.132812 1601836871.1431
MEM 96.132812 1601836871.2438
MEM 96.132812 1601836871.3448
MEM 96.132812 1601836871.4452
MEM 96.132812 1601836871.5458
MEM 96.132812 1601836871.6464
MEM 96.132812 1601836871.7474
MEM 96.132812 1601836871.8483
MEM 96.132812 1601836871.9491
MEM 96.132812 1601836872.0499
MEM 96.132812 1601836872.1506
MEM 96.132812 1601836872.2513
MEM 96.132812 1601836872.3523
MEM 96.132812 1601836872.4531
MEM 96.132812 1601836872.5539
MEM 96.132812 1601836872.6544
MEM 96.132812 1601836872.7553
MEM 96.132812 1601836872.8560
MEM 96.132812 1601836872.9567
MEM 96.132812 1601836873.0575
MEM 96.132812 1601836873.1583
MEM 96.132812 1601836873.2588
MEM 96.132812 1601836873.3596
MEM 96.132812 1601836873.4606
MEM 96.132812 1601836873.5615
MEM 96.132812 1601836873.6619
